nombre,código,"Cod. Materia",Semestre,Grupo,,,"Descripcion Evaluacion",Porcentaje,Descripcion,"Nom. Materia",,Nota,"Nota Definitiva"
Alejo,22,ST0242,20142,34,,,"Análisis del problema",5,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,45,45

Alejo,22,ST0242,20142,34,,,"Segundo parcial",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,40,45

Alejo,22,ST0242,20142,34,,,"Sustentación. Fecha del examen final.",20,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,50,45

Alejo,22,ST0242,20142,34,,,"Diseño del problema",5,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,45,45

Alejo,22,ST0242,20142,34,,,"Primer parcial",10,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,32,45

Alejo,22,ST0242,20142,34,,,Tareas,20,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,48,45

Alejo,22,ST0242,20142,34,,,Quices,10,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,50,45

Alfonso,23,ST0242,20142,33,,,"Quizzes semanales",10,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,50,37

Alfonso,23,ST0242,20142,33,,,"Talleres semanales",20,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,41,37

Alfonso,23,ST0242,20142,33,,,"Parcial número 1",10,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,30,37

Alfonso,23,ST0242,20142,33,,,"Parcial número 2",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,20,37

Alfonso,23,ST0242,20142,33,,,"Práctica Final",30,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,48,37

Alfonso,23,ST0242,20142,33,,,"Parcial número 3",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,24,37

Alfredo,24,ST0242,20142,33,,,"Quizzes semanales",10,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,35,28

Alfredo,24,ST0242,20142,33,,,"Práctica Final",30,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,46,28

Alfredo,24,ST0242,20142,33,,,"Parcial número 3",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,16,28

Alfredo,24,ST0242,20142,33,,,"Parcial número 1",10,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,20,28

Alfredo,24,ST0242,20142,33,,,"Talleres semanales",20,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,17,28

Alfredo,24,ST0242,20142,33,,,"Parcial número 2",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,20,28

Alicia,25,ST0242,20142,34,,,"Diseño del problema",5,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,50,50

Alicia,25,ST0242,20142,34,,,Quices,10,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,50,50

Alicia,25,ST0242,20142,34,,,"Primer parcial",10,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,49,50

Alicia,25,ST0242,20142,34,,,Tareas,20,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,49,50

Alicia,25,ST0242,20142,34,,,"Sustentación. Fecha del examen final.",20,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,50,50

Alicia,25,ST0242,20142,34,,,"Segundo parcial",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,50,50

Alicia,25,ST0242,20142,34,,,"Tercer parcial",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,50,50

Alicia,25,ST0242,20142,34,,,"Análisis del problema",5,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,50,50

